"COU","Country","MEAS","Measure","MAREG","Macroregion","MIREG","Microregion","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","BUILT_UP_PER_CAPITA","Square meters per capita","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_PER_CAPITA","Built-up per capita","1990","1990","RATIO","Ratio","0","Units",,,544.96679,,
"AUS","Australia","BUILT_UP_PER_CAPITA","Square meters per capita","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_PER_CAPITA","Built-up per capita","2000","2000","RATIO","Ratio","0","Units",,,544.57928,,
"AUS","Australia","BUILT_UP_PER_CAPITA","Square meters per capita","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_PER_CAPITA","Built-up per capita","2014","2014","RATIO","Ratio","0","Units",,,497.64234,,
"AUT","Austria","BUILT_UP_PER_CAPITA","Square meters per capita","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_PER_CAPITA","Built-up per capita","1990","1990","RATIO","Ratio","0","Units",,,285.57767,,
"AUT","Austria","BUILT_UP_PER_CAPITA","Square meters per capita","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_PER_CAPITA","Built-up per capita","2000","2000","RATIO","Ratio","0","Units",,,315.21642,,
"AUT","Austria","BUILT_UP_PER_CAPITA","Square meters per capita","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_PER_CAPITA","Built-up per capita","2014","2014","RATIO","Ratio","0","Units",,,339.70501,,
"BEL","Belgium","BUILT_UP_PER_CAPITA","Square meters per capita","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_PER_CAPITA","Built-up per capita","1990","1990","RATIO","Ratio","0","Units",,,353.3524,,
"BEL","Belgium","BUILT_UP_PER_CAPITA","Square meters per capita","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_PER_CAPITA","Built-up per capita","2000","2000","RATIO","Ratio","0","Units",,,392.73802,,
"BEL","Belgium","BUILT_UP_PER_CAPITA","Square meters per capita","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_PER_CAPITA","Built-up per capita","2014","2014","RATIO","Ratio","0","Units",,,418.97303,,
"CAN","Canada","BUILT_UP_PER_CAPITA","Square meters per capita","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_PER_CAPITA","Built-up per capita","1990","1990","RATIO","Ratio","0","Units",,,303.77446,,
"CAN","Canada","BUILT_UP_PER_CAPITA","Square meters per capita","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_PER_CAPITA","Built-up per capita","2000","2000","RATIO","Ratio","0","Units",,,309.93208,,
