"COU","Country","MEAS","Measure","MAREG","Macroregion","MIREG","Microregion","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","1990","1990","KM2","Square kilometres","0","Units",,,9287.01426,,
"AUS","Australia","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2000","2000","KM2","Square kilometres","0","Units",,,10382.86032,,
"AUS","Australia","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2014","2014","KM2","Square kilometres","0","Units",,,11681.98863,,
"AUS","Australia","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","1990","1990","PC","Percentage","0","Units",,,0.12103,,
"AUS","Australia","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2000","2000","PC","Percentage","0","Units",,,0.13531,,
"AUS","Australia","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2014","2014","PC","Percentage","0","Units",,,0.15224,,
"AUT","Austria","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","1990","1990","KM2","Square kilometres","0","Units",,,2205.78743,,
"AUT","Austria","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2000","2000","KM2","Square kilometres","0","Units",,,2543.56824,,
"AUT","Austria","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2014","2014","KM2","Square kilometres","0","Units",,,2932.74803,,
"AUT","Austria","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","1990","1990","PC","Percentage","0","Units",,,2.64201,,
"AUT","Austria","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2000","2000","PC","Percentage","0","Units",,,3.0466,,
"AUT","Austria","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2014","2014","PC","Percentage","0","Units",,,3.51274,,
"BEL","Belgium","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","1990","1990","KM2","Square kilometres","0","Units",,,3535.83634,,
"BEL","Belgium","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2000","2000","KM2","Square kilometres","0","Units",,,4038.14531,,
"BEL","Belgium","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2014","2014","KM2","Square kilometres","0","Units",,,4700.52598,,
"BEL","Belgium","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","1990","1990","PC","Percentage","0","Units",,,11.56128,,
"BEL","Belgium","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2000","2000","PC","Percentage","0","Units",,,13.2037,,
"BEL","Belgium","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2014","2014","PC","Percentage","0","Units",,,15.36952,,
"CAN","Canada","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","1990","1990","KM2","Square kilometres","0","Units",,,8412.32887,,
"CAN","Canada","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2000","2000","KM2","Square kilometres","0","Units",,,9526.00222,,
"CAN","Canada","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2014","2014","KM2","Square kilometres","0","Units",,,10886.92061,,
"CAN","Canada","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","1990","1990","PC","Percentage","0","Units",,,0.09712,,
"CAN","Canada","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2000","2000","PC","Percentage","0","Units",,,0.10998,,
"CAN","Canada","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2014","2014","PC","Percentage","0","Units",,,0.12569,,
"CZE","Czech Republic","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","1990","1990","KM2","Square kilometres","0","Units",,,2802.69425,,
"CZE","Czech Republic","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2000","2000","KM2","Square kilometres","0","Units",,,3038.06125,,
"CZE","Czech Republic","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2014","2014","KM2","Square kilometres","0","Units",,,3458.93287,,
"CZE","Czech Republic","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","1990","1990","PC","Percentage","0","Units",,,3.56849,,
"CZE","Czech Republic","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2000","2000","PC","Percentage","0","Units",,,3.86817,,
"CZE","Czech Republic","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2014","2014","PC","Percentage","0","Units",,,4.40404,,
"DNK","Denmark","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","1990","1990","KM2","Square kilometres","0","Units",,,1673.4401,,
"DNK","Denmark","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2000","2000","KM2","Square kilometres","0","Units",,,1846.7205,,
"DNK","Denmark","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2014","2014","KM2","Square kilometres","0","Units",,,2092.05208,,
"DNK","Denmark","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","1990","1990","PC","Percentage","0","Units",,,3.96725,,
"DNK","Denmark","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2000","2000","PC","Percentage","0","Units",,,4.37805,,
"DNK","Denmark","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2014","2014","PC","Percentage","0","Units",,,4.95966,,
"FIN","Finland","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","1990","1990","KM2","Square kilometres","0","Units",,,594.89842,,
"FIN","Finland","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2000","2000","KM2","Square kilometres","0","Units",,,694.13969,,
"FIN","Finland","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2014","2014","KM2","Square kilometres","0","Units",,,851.68884,,
"FIN","Finland","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","1990","1990","PC","Percentage","0","Units",,,0.18984,,
"FIN","Finland","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2000","2000","PC","Percentage","0","Units",,,0.22151,,
"FIN","Finland","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2014","2014","PC","Percentage","0","Units",,,0.27178,,
"FRA","France","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","1990","1990","KM2","Square kilometres","0","Units",,,17203.12072,,
"FRA","France","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2000","2000","KM2","Square kilometres","0","Units",,,19980.06654,,
"FRA","France","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2014","2014","KM2","Square kilometres","0","Units",,,23224.80753,,
"FRA","France","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","1990","1990","PC","Percentage","0","Units",,,3.14852,,
"FRA","France","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2000","2000","PC","Percentage","0","Units",,,3.65676,,
"FRA","France","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2014","2014","PC","Percentage","0","Units",,,4.25061,,
"DEU","Germany","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","1990","1990","KM2","Square kilometres","0","Units",,,21894.30289,,
"DEU","Germany","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2000","2000","KM2","Square kilometres","0","Units",,,24066.79908,,
"DEU","Germany","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2014","2014","KM2","Square kilometres","0","Units",,,27012.62874,,
"DEU","Germany","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","1990","1990","PC","Percentage","0","Units",,,6.17724,,
"DEU","Germany","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2000","2000","PC","Percentage","0","Units",,,6.79018,,
"DEU","Germany","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2014","2014","PC","Percentage","0","Units",,,7.62132,,
"GRC","Greece","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","1990","1990","KM2","Square kilometres","0","Units",,,1845.2394,,
"GRC","Greece","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2000","2000","KM2","Square kilometres","0","Units",,,2077.44407,,
"GRC","Greece","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2014","2014","KM2","Square kilometres","0","Units",,,2298.70407,,
"GRC","Greece","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","1990","1990","PC","Percentage","0","Units",,,1.41662,,
"GRC","Greece","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2000","2000","PC","Percentage","0","Units",,,1.59488,,
"GRC","Greece","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2014","2014","PC","Percentage","0","Units",,,1.76475,,
"HUN","Hungary","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","1990","1990","KM2","Square kilometres","0","Units",,,2635.16737,,
"HUN","Hungary","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2000","2000","KM2","Square kilometres","0","Units",,,2896.89334,,
"HUN","Hungary","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2014","2014","KM2","Square kilometres","0","Units",,,3345.16831,,
"HUN","Hungary","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","1990","1990","PC","Percentage","0","Units",,,2.85743,,
"HUN","Hungary","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2000","2000","PC","Percentage","0","Units",,,3.14123,,
"HUN","Hungary","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2014","2014","PC","Percentage","0","Units",,,3.62731,,
"ISL","Iceland","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","1990","1990","KM2","Square kilometres","0","Units",,,21.27882,,
"ISL","Iceland","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2000","2000","KM2","Square kilometres","0","Units",,,27.342,,
"ISL","Iceland","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2014","2014","KM2","Square kilometres","0","Units",,,37.8222,,
"ISL","Iceland","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","1990","1990","PC","Percentage","0","Units",,,0.02102,,
"ISL","Iceland","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2000","2000","PC","Percentage","0","Units",,,0.02701,,
"ISL","Iceland","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2014","2014","PC","Percentage","0","Units",,,0.03737,,
"IRL","Ireland","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","1990","1990","KM2","Square kilometres","0","Units",,,691.73691,,
"IRL","Ireland","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2000","2000","KM2","Square kilometres","0","Units",,,875.26381,,
"IRL","Ireland","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2014","2014","KM2","Square kilometres","0","Units",,,1106.50592,,
"IRL","Ireland","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","1990","1990","PC","Percentage","0","Units",,,1.01002,,
"IRL","Ireland","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2000","2000","PC","Percentage","0","Units",,,1.278,,
"IRL","Ireland","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2014","2014","PC","Percentage","0","Units",,,1.61564,,
"ITA","Italy","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","1990","1990","KM2","Square kilometres","0","Units",,,12511.14395,,
"ITA","Italy","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2000","2000","KM2","Square kilometres","0","Units",,,14117.41875,,
"ITA","Italy","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2014","2014","KM2","Square kilometres","0","Units",,,16397.04082,,
"ITA","Italy","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","1990","1990","PC","Percentage","0","Units",,,4.18365,,
"ITA","Italy","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2000","2000","PC","Percentage","0","Units",,,4.72078,,
"ITA","Italy","PCNT","Percent of total land area","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2014","2014","PC","Percentage","0","Units",,,5.48307,,
"JPN","Japan","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","1990","1990","KM2","Square kilometres","0","Units",,,23432.97713,,
"JPN","Japan","SQKM","Square kilometers","TOTAL","-Total-","TOTAL","-Total-","BUILT_UP_BEFORE","Area built-up before","2000","2000","KM2","Square kilometres","0","Units",,,25333.12546,,
