indic_ur,cities\time	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 	2007 	2006 	2005 	2004 	2003 	2002 	2001 	2000 	1999 	1998 	1997 	1996 	1995 	1994 	1993 	1992 	1991 	1990 
CR1003I,AT	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.4 	9.3 	: 	: 	: 	: 	: 	: 	: 
CR1003I,AT001C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	19.5 	: 	: 	23.7 	: ep	: ep	: ep	: ep	: e	: 	: 	: 	: 	: 	: 
CR1003I,AT002C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	33.8 	: 	: 	35.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,AT003C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	16.8 	: 	: 	: 	17.1 	: 	: 	22.7 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,AT004C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	24.7 	: 	: 	: 	24.9 	: 	: 	25.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,AT005C1	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	30.9 	: 	: 	: 	31.6 	: 	: 	32.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BE	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	11.0 	11.0 	10.4 	10.5 	10.6 	10.2 	10.3 	9.9 	9.8 	10.1 	9.2 	9.3 	: 
CR1003I,BE001C1	: 	: 	: 	: 	: 	: 	: 	: 	12.6 	: 	: 	14.6 	: 	: 	: 	15.3 	: 	16.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BE002C1	: 	: 	: 	: 	: 	: 	: 	: 	24.5 	: 	: 	26.1 	: 	: 	: 	27.0 	: 	27.6 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BE003C1	: 	: 	: 	: 	: 	: 	: 	: 	18.9 	: 	: 	19.1 	: 	: 	: 	19.6 	: 	21.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BE004C1	: 	: 	: 	: 	: 	: 	: 	: 	18.1 	: 	: 	18.7 	: 	: 	: 	20.9 	: 	29.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BE005C1	: 	: 	: 	: 	: 	: 	: 	: 	20.6 	: 	: 	25.4 	: 	: 	: 	28.0 	: 	23.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BE006C1	: 	: 	: 	: 	: 	: 	: 	: 	16.3 	: 	: 	16.5 	: 	: 	: 	5.5 	: 	5.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BE007C1	: 	: 	: 	: 	: 	: 	: 	: 	40.0 	: 	: 	44.8 	: 	: 	: 	47.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BE008C1	: 	: 	: 	: 	: 	: 	: 	: 	19.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BE009C1	: 	: 	: 	: 	: 	: 	: 	: 	42.8 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BE010C1	: 	: 	: 	: 	: 	: 	: 	: 	38.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BE011C1	: 	: 	: 	: 	: 	: 	: 	: 	38.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BG	: 	: 	: 	: 	: 	: e	: e	: e	: e	: e	: 	: 	: 	: 	: 	: 	: 	: 	: 	8.7 	10.1 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BG001C1	: 	: 	: 	: 	: 	: e	: e	: e	14.1 e	: e	15.1 e	: e	: e	: e	: e	: 	14.9 	: 	: 	9.0 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BG002C1	: 	: 	: 	: 	: 	: e	: e	: e	7.1 e	: e	7.5 e	: e	: e	: e	: e	: 	8.7 	: 	: 	5.2 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BG003C1	: 	: 	: 	: 	: 	: e	: e	: e	10.6 e	: e	: c	: e	: e	: e	: e	: 	7.0 	: 	: 	9.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BG004C1	: 	: 	: 	: 	: 	: e	: e	: e	1.5 e	: e	: c	: e	: e	: e	: e	: 	7.8 	: 	: 	14.5 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BG005C1	: 	: 	: 	: 	: 	: e	: e	: e	1.2 e	: e	0.0 e	: e	: e	: e	: e	: 	8.9 	: 	: 	20.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BG006C1	: 	: 	: 	: 	: 	: e	: e	: e	16.3 e	: e	0.0 e	: e	: e	: e	: e	: 	2.8 	: 	: 	3.9 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BG007C1	: 	: 	: 	: 	: 	: e	: e	: e	0.0 e	: e	0.0 e	: e	: e	: e	: e	: 	12.9 	: 	: 	12.3 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BG008C1	: 	: 	: 	: 	: 	: e	: e	: e	16.4 e	: 	10.4 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BG009C1	: 	: 	: 	: 	: 	: e	: e	: e	1.9 e	: e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
CR1003I,BG010C1	: 	: 	: 	: 	: 	: e	: e	: e	0.9 e	: e	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 
