"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019",
"Aruba","ABW","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","172.8477478","","","","","","","","","","172.8477478","","","","","","","","","","172.8477478","","","","","","","","","",
"Afghanistan","AFG","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1427.029541","","","","","","","","","","1427.029541","","","","","","","","","","1427.029541","","","","","","","","","",
"Albania","ALB","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1689.403809","","","","","","","","","","1689.403809","","","","","","","","","","1689.403809","","","","","","","","","",
"Andorra","AND","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","193254.6570712","","","","","","","","","","193254.6570712","","","","","","","","","","193254.6570712","","","","","","","","","",
"United Arab Emirates","ARE","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8568.158203","","","","","","","","","","8568.158203","","","","","","","","","","8568.158203","","","","","","","","","",
"Argentina","ARG","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","55032.20313","","","","","","","","","","55032.20313","","","","","","","","","","55032.20313","","","","","","","","","",
"Armenia","ARM","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"American Samoa","ASM","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","116.1668701","","","","","","","","","","116.1668701","","","","","","","","","","116.1668701","","","","","","","","","",
"Antigua and Barbuda","ATG","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","266.2775574","","","","","","","","","","266.2775574","","","","","","","","","","266.2775574","","","","","","","","","",
"Australia","AUS","Urban land area (sq. km)","AG.LND.TOTL.UR.K2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36745.70313","","","","","","","","","","36745.70313","","","","","","","","","","36745.70313","","","","","","","","","",
